sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_demix_status	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230327NY001026867A	ok	wadsworth	1.4210854715202004e-16	no	NA	NA	NA	low_coverage
20230329NY123029726A	ok	u_of_rochester	0.9686653513025448	yes	ok	32	31	ok
20230423NY067027081A	ok	suny_upstate	0.9585325887034746	yes	ok	41	41	ok
20230216NY007024414C	ok	nymc	0.5221884091897134	yes	ok	45	31	ok
20230301NY111029351A	ok	nymc	0.9576965521853996	yes	ok	71	67	ok
20230504NY103079324A	ok	wadsworth	0.9579640838711836	yes	ok	58	58	ok
20230118NY111029351A	ok	wadsworth	0.9491689797010332	yes	ok	89	86	ok
20230630NY045025984A	ok	suny_upstate	0.8062401765709126	yes	solver_warning	17	14	ok
20230403NY103104809A	ok	nymc	0.1855332240912282	no	NA	NA	NA	low_coverage
20230525NY059026778A	ok	wadsworth	0.1789452563287962	no	NA	NA	NA	low_coverage
20230531NY045025151A	ok	suny_upstate	0.4557736681938268	no	NA	NA	NA	low_coverage
20230803NY089029831A	ok	suny_upstate	0.9722435875999064	yes	ok	32	32	ok
20230614NY111030082A	ok	nymc	0.886064943316724	yes	ok	4	4	ok
20230208NY027026271A	ok	nymc	0.7777146105741899	yes	ok	55	47	ok
20230614NY089031194A	ok	suny_upstate	0.0236096712704412	no	NA	NA	NA	low_coverage
20230807NY063027057A	ok	suny_buffalo	0.6217436377620974	yes	solver_warning	15	10	ok
20230621NY123029726A	ok	u_of_rochester	0.9361936929405076	yes	ok	34	33	ok
20230703NY027026255A	ok	nymc	0.8877035748921513	yes	solver_warning	14	14	ok
20230806NY067027618A	ok	suny_upstate	0.9598702471323948	yes	ok	38	38	ok
20230724NY055028231A	ok	u_of_rochester	0.915025248302846	yes	ok	45	44	ok
20230214NY055028339A	ok	u_of_rochester	0.8791760024077852	yes	ok	67	64	ok
20230125NY007027669A	ok	wadsworth	0.9352573320402636	yes	ok	101	100	ok
20230627NY055021610A	ok	u_of_rochester	2.842170943040401e-16	no	NA	NA	NA	low_coverage
20230711NY109026638A	ok	u_of_rochester	0.81710865130588894	yes	solver_warning	15	15	ok
20230316NY103021750A	ok	wadsworth	7.357121359059e-4	no	NA	NA	NA	low_coverage
20230830NY089031194A	ok	suny_upstate	0.9432163996923386	yes	ok	33	33	ok
20230504NY065025780C	ok	wadsworth	0.0150152158646289	no	NA	NA	NA	low_coverage
20230112NY071023680A	ok	wadsworth	0.9664916563555496	yes	ok	71	69	ok
20230628NY083087971A	ok	wadsworth	0.8719526468916162	yes	solver_warning	25	20	ok
20230222NY019022195A	ok	wadsworth	0.9861217937999532	yes	ok	55	55	ok
20230607NY123029726A	ok	u_of_rochester	0.0115373039494367	no	NA	NA	NA	low_coverage
20230829NY055028339A	ok	u_of_rochester	0.9034879443534092	yes	ok	89	85	ok
20230628NY119026786A	ok	nymc	0.4848342975621176	no	NA	NA	NA	low_coverage
20230504NY117027171A	ok	u_of_rochester	0.846670902585025	yes	ok	28	24	ok
20230608NY087031895A	ok	nymc	0.930809617764104	yes	ok	44	44	ok
20230321NY101021431A	ok	u_of_rochester	0.9001437982811089	yes	ok	33	31	ok
20230711NY011021903A	ok	suny_upstate	5.350633715681e-4	no	NA	NA	NA	low_coverage
20230830NY079031356A	ok	nymc	0.9756880580543758	yes	ok	40	39	ok
20230606NY033030376A	ok	wadsworth	0.9273985887703574	yes	ok	27	25	ok
20230611NY067027081A	ok	suny_upstate	0.8222920777179548	yes	solver_warning	20	19	ok
20230122NY067030571A	ok	suny_upstate	1.4210854715202004e-16	no	NA	NA	NA	low_coverage
20230124NY105030074A	ok	wadsworth	0.9646858174765072	yes	ok	56	55	ok
20230330NY059021822A	ok	wadsworth	0.7437715279403405	yes	solver_warning	8	7	ok
20230525NY001025739A	ok	wadsworth	0	no	NA	NA	NA	low_coverage
20230326NY119026701A	ok	nymc	0.9305755275390428	yes	ok	47	44	ok
20230822NY111029351A	ok	nymc	0.9133866167274186	yes	ok	25	24	ok
20230822NY051024384A	ok	u_of_rochester	0.6747483530080595	yes	solver_warning	11	11	ok
20230404NY029025950B	ok	suny_buffalo	0.9430491923887236	yes	ok	75	73	ok
20230726NY007027669A	ok	u_of_rochester	0.8865665652275692	yes	solver_warning	11	11	ok
20230129NY119108324A	ok	nymc	2.842170943040401e-16	no	NA	NA	NA	low_coverage
20230131NY053029807A	ok	suny_upstate	1.4210854715202004e-16	no	NA	NA	NA	low_coverage
